product_A,price_A,tier_A,product_B,price_B,tier_B,pair_sales_count,avg_buyer_score,high_intent_ratio,bundle_strategy_type
Google NYC Campus Sticker,1.994,Low,Google Seattle Campus Sticker,1.971,Low,5,8257.8,100,General Bundle
Google NYC Campus Sticker,1.994,Low,Google NYC Campus Zip Hoodie,54.226,High,5,4912,100,Add-on Strategy (업셀링)
Google PNW Campus Lapel Pin,5.667,Low,Google PNW Campus Mug,10.531,Low,5,8931.2,100,General Bundle
Google PNW Campus Mug,10.531,Low,Google Sunnyvale Campus Mug,10.676,Low,5,3237.8,100,General Bundle
Google PNW Campus Mug,10.531,Low,Google PNW Campus Zip Hoodie,50.775,High,5,5322.5,100,Add-on Strategy (업셀링)
Google Pen Bright Blue,1.998,Low,Google Perk Thermal Tumbler,19.848,Mid,5,7154.2,100,General Bundle
Google Pen Citron,1.967,Low,Google Pen Neon Coral,1.947,Low,5,9391.6,100,General Bundle
Google Pen Grass Green,1.997,Low,Google Pen Lilac,1.897,Low,5,6478.6,100,General Bundle
Google Pen Lilac,1.897,Low,Google Pen White,2,Low,5,5139.8,100,General Bundle
Google Pen Lilac,1.897,Low,Google Pen Red,1.907,Low,5,6366.8,100,General Bundle
Google Pen Neon Coral,1.947,Low,Google Pen Red,1.907,Low,5,7291.6,100,General Bundle
Google Pen Red,1.907,Low,Google Pen White,2,Low,5,5546.4,100,General Bundle
Google Toddler FC Zip Hoodie,34.96,High,Google Zip Hoodie F/C,59.99,High,5,3002,100,Premium Set (VIP 타겟)
Google Zip Hoodie F/C,59.99,High,Noogler Android Figure,15.997,Low,5,4828.4,100,Add-on Strategy (업셀링)
YouTube Icon Tee Charcoal,21.983,Mid,YouTube Jotter Task Pad,2.999,Low,5,2737.8,100,General Bundle
#IamRemarkable Ladies T-Shirt,11.997,Low,Google Red Speckled Tee,29.944,High,4,5281.8,100,Add-on Strategy (업셀링)
Android Buoy Bottle,7.869,Low,Android Iconic Hat Black,15.904,Low,4,4290.5,100,General Bundle
Android Iconic Socks,17,Mid,Google Crew Socks,15.996,Low,4,2958,100,General Bundle
Android Large Removable Sticker Sheet,2.999,Low,Google Emoji Sticker Pack,4.999,Low,4,2239.8,100,General Bundle
Android Pocket Onesie Navy,22,Mid,Google Infant Hero Onesie Grey,20.842,Mid,4,1094.8,100,Volume Builder (크로스셀링)
Android Pocket Tee Green,28.082,Mid,Android Pocket Tee Navy,28.766,Mid,4,2162.3,100,Volume Builder (크로스셀링)
Android Pocket Toddler Tee Navy,22.998,Mid,Google Toddler FC Zip Hoodie,34.96,High,4,4966,100,General Bundle
Android SM S/F18 Sticker Sheet,2.999,Low,Google Clear Pen 4-Pack,4.947,Low,4,6650,100,General Bundle
Android SM S/F18 Sticker Sheet,2.999,Low,Noogler Android Figure,15.997,Low,4,3673.3,100,General Bundle
Android SM S/F18 Sticker Sheet,2.999,Low,Google Laptop and Cell Phone Stickers,2.999,Low,4,4675.3,100,General Bundle
Google 24oz Ring Bottle Blue,6.993,Low,Google Perk Thermal Tumbler,19.848,Mid,4,4464.5,100,General Bundle
Google Austin Campus Lapel Pin,5.174,Low,Google Austin Campus Mug,10.511,Low,4,3011.5,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google Kirkland Campus Mug,10.934,Low,4,8126.8,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google NYC Campus Sticker,1.994,Low,4,5508,100,General Bundle
Google Austin Campus Mug,10.511,Low,Google LA Campus Sticker,1.972,Low,4,7930,100,General Bundle
Google Austin Campus Tote,10.442,Low,Google Austin Campus Zip Hoodie,56.495,High,4,4560.5,100,Add-on Strategy (업셀링)
