item_name,item_category,abandoned_count,total_lost_revenue,avg_lost_value
Google Campus Bike Eco Tee Navy,Men's T-Shirts/,128,275,1
Google Land & Sea Nalgene Water Bottle,Home/New/,420,275,0
Google Campus Bike Eco Tee Navy,Home/Apparel/,135,275,1
Google Crewneck Sweatshirt Green,Apparel,31,275,6
Google Leather Strap Hat Black,"",4,272,39
Google Mural Mug,Drinkware,36,272,6
#IamRemarkable Unisex T-Shirt,Home/Apparel/,87,264,1
Google Eco Tee Black,Women's,37,264,5
Google Women's Eco Tee Black,Home/Apparel/Women's/,25,264,3
Google Pocket Tee Grey,Home/Sale/,87,261,1
Android Iconic Hat White,Home/Apparel/Hats/,1389,256,0
Google Land & Sea Mug,Drinkware,42,255,5
Google Women's Kirkland Pullover,Home/Sale/,14,252,5
Google Women's Grid Zip-Up,Apparel,13,252,14
Google Land & Sea Nalgene Water Bottle,Drinkware,27,250,7
Google Mountain View Campus Unisex Tee,Home/Campus Collection/,6,250,25
YouTube Small Sticker Sheet,Home/Shop by Brand/YouTube/,346,249,0
Google Lightweight Crew Sweatshirt Grey,"",4,248,62
Google Sunnyvale Campus Zip Hoodie,New,12,246,12
Google PNW Campus Zip Hoodie,Campus Collection,8,246,27
YouTube Icon Tee Charcoal,Home/Apparel/Men's / Unisex/,113,242,1
Google Eco Tee Black,Google,17,242,9
YouTube Standards Zip Hoodie Black,"",3,240,60
Google Utility BackPack,Backpacks/,8,240,18
Android Iconic Hat Green,Home/Apparel/Hats/,1389,240,0
Google Land & Sea Tote Bag,Home/New/,417,240,0
Google Youth F/C Pullover Hoodie,Kids,20,240,9
Google Campus Bike,Lifestyle,7,240,27
Google Cotopaxi Shell,Apparel,6,240,20
Google Raincoat Navy,Apparel,3,240,80
YouTube Standards Zip Hoodie Black,Apparel,5,240,34
Google Camp Mug Ivory,"",12,234,14
Google SF Campus Unisex Tee,Campus Collection,18,234,9
Google NYC Campus Zip Hoodie,"",3,232,58
Supernatural Paper Backpack,Home/Eco-Friendly/,105,232,1
Google NYC Campus Zip Hoodie,Home/Sale/,31,232,3
Google Cambridge Campus Zip Hoodie,Home/Sale/,27,232,3
Google Mountain View Campus Zip Hoodie,Home/Campus Collection/,11,232,9
Google Men's Puff Jacket Black,Apparel,4,230,57
Google Women's Puff Jacket Black,Apparel,3,230,58
Google Incognito Zip Pack,Backpacks/,8,228,16
Google Incognito Zip Pack,Lifestyle,3,228,57
Google Youth Badge Tee Navy,Sale,24,226,6
Google Mural Socks,Home/Apparel/Socks/,111,225,1
Google Emoji Sticker Pack,Home/Stationery/Stickers/,183,225,1
Stan and Friends Tee Green,Home/Apparel/Women's/,449,225,0
Google Infant Charcoal Onesie,Apparel,10,225,11
#IamRemarkable Unisex Hoodie,Home/Shop by Brand/#IamRemarkable/,7,224,17
Google Leather Strap Hat Blue,Sale,41,221,5
YouTube Icon Tee Charcoal,"",8,220,22
Google LoveHandle Black,Lifestyle/Small Goods/,277,220,0
Google Crewneck Sweatshirt Navy,Google,14,220,15
Google Sunnyvale Campus Bottle,Home/Campus Collection/,15,220,7
Google Bot,Lifestyle,5,220,37
Google 24oz Ring Bottle Blue,Drinkware,10,217,20
Google Youth Hero Tee Grey,Home/Apparel/Kids/,201,216,0
Google Bear Baby Blanket Beige,Small Goods,9,216,17
